,China_bond,China_stock,China_stock_futures,China_energy_futures,China_meat_futures,China_grains_futures,China_softs_futures,China_metals_futures,US_bond,US_stock,US_stock_futures,US_financial_futures,US_energy_futures,US_meat_futures,US_grains_futures,US_softs_futures,US_metals_futures,US_crude_oil_futures,US_gold_futures,UK_bond,UK_stock,UK_stock_futures,UK_financial_futures,UK_energy_futures,UK_grains_futures,UK_softs_futures,UK_metals_futures,UK_crude_oil_futures,EU_bond,EU_stock,EU_stock_futures,EU_financial_futures,Japan_bond,Japan_stock,Japan_stock_futures,Japan_financial_futures,Japan_energy_futures,Japan_grains_futures,Japan_softs_futures,BTC_cryptocurrency,ETH_cryptocurrency,India_stock_futures,Singapore_stock_futures,Brazil_stock_futures,Brazil_meat_futures,India_metals_futures
China_bond,0.3485939392728756,0.18632980614978134,0.2026984374434926,0.07693568777150449,-0.09242720952013429,0.23309377506338405,0.4274734553631761,0.1096534559927212,0.42596121822726063,0.24047338980128735,0.2848181462955925,-0.16966021727186856,0.22870892993921402,0.3600982358352853,0.2728645440999099,0.6219371802832308,0.2340060334250956,0.26193073555923085,0.3331902685088414,0.4631660141106987,0.11056676335302724,0.13436614715089426,-0.21075711792300497,0.2308953194215106,0.3253647363322215,0.5842763591281361,0.2502218782646872,0.24820864765855974,0.29869621870367924,0.25348479849191735,0.2595626051256316,-0.18640737354997297,0.45248392942173005,0.31044021443697595,0.3117245243961961,-0.2905108734367964,0.2561653319471204,0.27436320021517935,0.0607855657488379,0.21924917344433592,0.2568380130885067,0.30106494636838593,-0.2411875911709135,0.3350461895467924,0.22900740220211765,0.2619993982816561
China_stock,0.18632980614978134,0.35999069236733705,0.3324563848224053,-0.013264705507740353,0.04781807066619796,0.07067688833985902,0.14138957270120708,0.15334715548992578,0.1633564283915866,0.2420097266039305,0.2188616843046736,0.06419775721828716,0.12350118784983481,0.07210965136500952,0.2577540794628095,0.026371058720207976,0.26624046227389936,0.12794876190294355,0.2629089666440262,0.12185614461195897,-0.0783651755059147,-0.07990886018179509,-0.008227362654653982,0.0999424953406123,0.2657256039824976,-0.10127821562112092,0.284247985141672,0.08801836504936313,-0.2498772847742728,0.20859305725824684,0.21035028747458656,0.020944762941442627,-0.015858556427988127,0.2030326846093301,0.20490236369971312,-0.054516045299105496,0.0418560884704647,0.13180145274616742,0.20160841097071833,0.26724651811015315,0.2930625495838939,0.16424375483142825,-0.057904486461336675,0.24896098774610825,0.2535295645259278,0.20405222946865834
China_stock_futures,0.2026984374434926,0.3324563848224053,0.3653133614735328,0.028888140315646203,-0.039953179545785734,0.09830249139458692,0.17359107605899268,0.19271229715117258,0.18292718887460613,0.22849229672917903,0.21098101773488942,0.031053024363507528,0.16325562267520827,0.10653057809288924,0.29758461315148643,0.03445473908463222,0.2574283077206219,0.17552721067429308,0.267848630195289,0.14726652255166264,-0.04373668160044755,-0.040092310176246676,-0.04559834768486059,0.14677278553204515,0.316658666453737,-0.08350992906866408,0.2914205928278852,0.14061736431753039,-0.23028394268363678,0.19965462412247625,0.2015888008101624,-0.02088895351756218,0.017092325058894138,0.19099443983558714,0.19224734395860008,-0.10613314779841934,0.08161298500522353,0.18017532475068077,0.13223607056729877,0.2375450822744491,0.296047731714837,0.17862618388383997,-0.09362046661816684,0.19186208825114345,0.25156295263145845,0.22220765419805708
China_energy_futures,0.07693568777150449,-0.013264705507740353,0.028888140315646203,0.5198332194315806,-0.18087270185522059,0.1799210434066208,0.22698162782589992,0.4223617486307529,0.09775060416698872,0.03268970414685072,0.11193113138768576,-0.31437197160118296,0.41968771562627777,0.2795636441858509,0.18405478854600663,0.36013519141999506,0.14886432672740255,0.475479690384857,-0.03765279090157398,0.15684366190063795,0.5672090865257081,0.5967471281093435,-0.2269479141073988,0.5035423523319771,0.23852914249221618,0.29415275080868897,0.22971735539522753,0.5189890311728076,0.23647104795079407,0.13161478148971018,0.13433774385684608,-0.20147990708847244,0.32344003844604374,0.15183379250753223,0.15430413137629287,-0.24825943826966068,0.28938510885346347,0.24800392233836788,0.11383807670846555,0.07380779444623295,0.16417029625665874,0.18932766902337803,0.04767406317828064,0.007994626243335164,0.008711347056149728,0.18787847078323086
China_meat_futures,-0.09242720952013429,0.04781807066619796,-0.039953179545785734,-0.18087270185522059,0.39661742483533974,-0.056051634546976585,-0.2976833626481014,-0.02298594612760437,-0.15389198183600947,-0.05685889460554457,-0.0827314505791963,0.10090917154231359,-0.10631362257035652,-0.23068819143706107,0.011369243860403482,-0.6124583999622496,-0.038828682697196824,-0.11737861814886585,-0.07262865930166225,-0.21705777272641089,-0.2533842155694096,-0.26686970246311287,0.10668941800803405,-0.10914964011957508,0.0672639481155733,-0.5199964394762818,-0.0753515772464021,-0.12173553998925125,-0.37527066688879174,-0.11919093380959338,-0.12258334080708383,0.10285189539248246,-0.32704073134526646,-0.07669193542187809,-0.07608086890618562,0.12705248994093657,-0.1352910183515237,-0.08588116235295433,0.11385964794684345,-0.034121564149955916,-0.12591175009608957,-0.115811042521034,0.04877602769886565,0.011284244142933275,0.03881293184331631,-0.0791410885703385
China_grains_futures,0.23309377506338405,0.07067688833985902,0.09830249139458692,0.1799210434066208,-0.056051634546976585,0.2272054503641669,0.3323509392247308,0.16359152808025204,0.29994745220523444,0.1257578323777591,0.18278468998694208,-0.23572552438624914,0.2320936482514712,0.3257015233774375,0.17271408987348663,0.5341803946014128,0.15282825574311437,0.2639922889527628,0.18185499059906862,0.356066094016989,0.22944772708538427,0.25678373081281597,-0.22748265253829028,0.2565803889496316,0.23093408258556156,0.5198540708798262,0.173487662576785,0.27260114869424273,0.35227171607104607,0.1772214968136179,0.18265702271835635,-0.21155681431357026,0.4263238767231807,0.2306813778211307,0.23210490442338833,-0.2948169694622999,0.2454362639825878,0.22886852429847543,0.03985426405079767,0.10970004497117833,0.1446680218440815,0.2311117124399196,-0.15857641537631703,0.17943494073129485,0.11251574976859317,0.20127034132318217
China_softs_futures,0.4274734553631761,0.14138957270120708,0.17359107605899268,0.22698162782589992,-0.2976833626481014,0.3323509392247308,0.7393769148911928,0.06143839316632723,0.5725852946465199,0.25899288213966837,0.33857668532135177,-0.31711415644890156,0.2994090070123633,0.5730420167171615,0.20178598177535423,1.1869804468269551,0.24240281970885635,0.34096297515026075,0.37927614417488265,0.67946265017456,0.3531652760607726,0.3937985180431913,-0.3387780766853426,0.3086431156909177,0.19436949731414302,1.1177824127333775,0.25447184278345747,0.3333490761408842,0.7270402237350854,0.3578759324063626,0.36779492161562766,-0.31295027769776623,0.781009056815318,0.4176372075931244,0.4192402019464983,-0.43284273857014455,0.3843816059713057,0.3288044792412734,0.004504383944814578,0.22837988756066793,0.28115631720810735,0.39638835836240394,-0.2593654279102355,0.39542833935127125,0.17516506414766297,0.3312223017169392
China_metals_futures,0.1096534559927212,0.15334715548992578,0.19271229715117258,0.4223617486307529,-0.02298594612760437,0.16359152808025204,0.06143839316632723,0.5739953915800822,0.0740360284197869,0.10817655279961788,0.1667035264080957,-0.22231998333289385,0.44846895954370675,0.19507954756979232,0.37035478244701225,-0.05149002620446872,0.2613076947106264,0.5057906770018951,0.031012217069701458,0.06899867173311854,0.3969855246140156,0.4172618302943042,-0.1711645114967435,0.5261336736493556,0.4917641159237982,-0.13376788277036802,0.36153553257754595,0.5365224152546705,-0.16153903806307895,0.13784580336728955,0.13879242317856375,-0.13560157277960877,0.10826327608485775,0.1552691306150651,0.15804659271804686,-0.20645604101101891,0.2409686467513481,0.29743000274033093,0.23091625947528902,0.16423784176635178,0.2679373352171786,0.2037968230104631,0.0230551646323194,0.056494383499666775,0.15818121115158487,0.23702506795508857
US_bond,0.42596121822726063,0.1633564283915866,0.18292718887460613,0.09775060416698872,-0.15389198183600947,0.29994745220523444,0.5725852946465199,0.0740360284197869,0.5473680561314148,0.26877223855322124,0.3327135441522836,-0.24877671448073477,0.2532500724456331,0.4824706348115786,0.2590045406559551,0.946692162129031,0.24408307178564126,0.29081141649068215,0.39217643046498385,0.6197316965078585,0.17002692624358687,0.20303648076159675,-0.28598672643560186,0.2555441335976328,0.3110401182105148,0.9163158118762331,0.25107021865514056,0.2791513152061262,0.541085774908266,0.30563551349228746,0.31407652488457133,-0.26110728986660925,0.6584112227714752,0.3836522024724243,0.38517867373780756,-0.3860046571005404,0.3307184568504108,0.316066271506986,0.03582771047820014,0.23298476660722756,0.2682923850387616,0.36898148278704535,-0.30753213857411715,0.40390338827349803,0.229057931541647,0.30010657540662805
US_stock,0.24047338980128735,0.2420097266039305,0.22849229672917903,0.03268970414685072,-0.05685889460554457,0.1257578323777591,0.25899288213966837,0.10817655279961788,0.26877223855322124,0.2374965918940439,0.24104075071078362,-0.0429833602237094,0.15528890800816894,0.19511086863529647,0.2239767632104795,0.3931531335561139,0.23516663761555184,0.17122053958620423,0.2704561264367639,0.27322109919256526,0.00550622581447174,0.014109432723185593,-0.09216181903122793,0.14222898130560233,0.2448992376291068,0.296751990688627,0.2473654107591868,0.14465562985868513,0.053666260951794255,0.22432036972275743,0.22794832048799807,-0.06453763305001539,0.22178006731826022,0.2529304194338989,0.2546445990603212,-0.15848789539478955,0.13402118919240158,0.16826736494547428,0.13381950420414185,0.2463989669896201,0.27443005583608615,0.2198300122342919,-0.1289134827675704,0.2753532823228579,0.21412600860819067,0.2099193394186637
US_stock_futures,0.2848181462955925,0.2188616843046736,0.21098101773488942,0.11193113138768576,-0.0827314505791963,0.18278468998694208,0.33857668532135177,0.1667035264080957,0.3327135441522836,0.24104075071078362,0.278559582460041,-0.13425433637625772,0.23850531094447291,0.2911876615439143,0.25980024163156223,0.5067084653373135,0.2587838878871086,0.2687192235983755,0.2722423170030038,0.35505452280914784,0.14841502593961867,0.16710802588708673,-0.16264453055012687,0.24389788962592224,0.29252132064838854,0.42833585368451826,0.28242991951824153,0.2552730193489649,0.16782934125127252,0.2581707897108168,0.26298278227103283,-0.13048077521862017,0.3419077577229258,0.292711423131544,0.2944775589340514,-0.22583827851698338,0.2135176642568388,0.234567220917926,0.13221846629746123,0.2523352411403479,0.29620216147163514,0.2758449316928076,-0.14185098287112857,0.31413282117850777,0.21855102153233277,0.25477975537146513
US_financial_futures,-0.16966021727186856,0.06419775721828716,0.031053024363507528,-0.31437197160118296,0.10090917154231359,-0.23572552438624914,-0.31711415644890156,-0.22231998333289385,-0.24877671448073477,-0.0429833602237094,-0.13425433637625772,0.3480416788164253,-0.28683834882735315,-0.3719047568372435,-0.09825350725038615,-0.6024585548385984,-0.09947354142791268,-0.32911184618134776,-0.04704064050007877,-0.33673874954334365,-0.4289264541173584,-0.46403338288710716,0.2807207864631616,-0.34247727653305055,-0.16214251954255227,-0.6218075439768574,-0.1301531281938545,-0.3670562077170136,-0.5111104609394472,-0.1397556553250259,-0.1451900130668104,0.2648844187880249,-0.5130234191755519,-0.1952646102286673,-0.19666434118852255,0.3255336658280775,-0.29500092685754936,-0.22702499808536658,-0.013099582510436782,-0.039745259737171544,-0.08775431746247152,-0.21867468603828716,0.09173057883003026,-0.1003320004289092,-0.00914816076439808,-0.1687644757682184
US_energy_futures,0.22870892993921402,0.12350118784983481,0.16325562267520827,0.41968771562627777,-0.10631362257035652,0.2320936482514712,0.2994090070123633,0.44846895954370675,0.2532500724456331,0.15528890800816894,0.23850531094447291,-0.28683834882735315,0.47344498361822546,0.33745551273488733,0.37233468632788236,0.33353722412255277,0.26155855095318337,0.5418669918245912,0.13073049698276887,0.28272219424487244,0.4650736367033945,0.4961216626077392,-0.2453921473242714,0.5469312316850986,0.46461155834329565,0.2753387026077922,0.34788667585664934,0.5693587429210661,0.12037672487407665,0.21047886248395614,0.2139716139102739,-0.20941103047155374,0.34629814141187765,0.2475811558456732,0.24978437810346726,-0.28844952197904483,0.33660929324435623,0.355235675020081,0.15528316093587055,0.1880403506951139,0.28744997232636926,0.2891132030566355,-0.07049481654235569,0.1836415615794175,0.17503293691209557,0.28602514685715974
US_meat_futures,0.3600982358352853,0.07210965136500952,0.10653057809288924,0.2795636441858509,-0.23068819143706107,0.3257015233774375,0.5730420167171615,0.19507954756979232,0.4824706348115786,0.19511086863529647,0.2911876615439143,-0.3719047568372435,0.33745551273488733,0.547289767362018,0.20753165295095286,0.9688968318984534,0.2234537557399988,0.3856548239587606,0.2640616555738884,0.5843673218375353,0.4055951869257373,0.4470628626384824,-0.3528972973060515,0.372614148360054,0.26454013090997003,0.9391511395343285,0.2511216312064312,0.402064719247453,0.6569111028009658,0.2892504499584834,0.2979979110933559,-0.32539279121612624,0.7252302658043409,0.3590008114703304,0.36073464224512647,-0.4349042748882866,0.3842929903282241,0.33195741591216965,0.03134930982534364,0.17609787321525322,0.23811660791714523,0.3646275201657196,-0.22101923286783343,0.304140861848565,0.13845291824503178,0.294120337359335
US_grains_futures,0.2728645440999099,0.2577540794628095,0.29758461315148643,0.18405478854600663,0.011369243860403482,0.17271408987348663,0.20178598177535423,0.37035478244701225,0.2590045406559551,0.2239767632104795,0.25980024163156223,-0.09825350725038615,0.37233468632788236,0.20753165295095286,0.49763083520353374,-0.018860385197801605,0.2971854615441684,0.43036480929146054,0.25739667162726576,0.22038187171836035,0.1359891402087345,0.15082426600619886,-0.13422465658546848,0.4091328065802371,0.6066676635715493,-0.07770572846236679,0.376680530509171,0.4257213966316512,-0.2383760182960692,0.18845116883136498,0.1899565771408577,-0.10184342614252216,0.10535331805861887,0.22080551690932776,0.22198598898719252,-0.18753407068858796,0.23157498656328102,0.34501513047348403,0.16121998236302296,0.24168543190693562,0.32467169209962154,0.25535829972215296,-0.151408601424998,0.24390601242451332,0.31228712475492637,0.28065149586276406
US_softs_futures,0.6219371802832308,0.026371058720207976,0.03445473908463222,0.36013519141999506,-0.6124583999622496,0.5341803946014128,1.1869804468269551,-0.05149002620446872,0.946692162129031,0.3931531335561139,0.5067084653373135,-0.6024585548385984,0.33353722412255277,0.9688968318984534,-0.018860385197801605,3.329060154534639,0.2769660800066325,0.3678171418361887,0.5617232000070914,1.243042594373808,0.531018840370842,0.5987099871554555,-0.5702462885990041,0.32888632004444596,-0.07129503676409842,3.0691848708100027,0.22998895094295455,0.35559614481914825,1.8680968203997352,0.5931472993450181,0.6130132436821298,-0.5469589320638297,1.6900877913779342,0.7709362221257005,0.7775342580138138,-0.8409673975857783,0.6194929813803843,0.3450608105962357,0.1572568754930996,0.3662971744900441,0.366553676196233,0.6517203161909295,-0.41780149842079317,0.6204890794600088,0.08501161650787165,0.4389438980491671
US_metals_futures,0.2340060334250956,0.26624046227389936,0.2574283077206219,0.14886432672740255,-0.038828682697196824,0.15282825574311437,0.24240281970885635,0.2613076947106264,0.24408307178564126,0.23516663761555184,0.2587838878871086,-0.09947354142791268,0.26155855095318337,0.2234537557399988,0.2971854615441684,0.2769660800066325,0.28927321636951475,0.29025256707885405,0.2362399268556165,0.24303245350188893,0.13934940832555207,0.15201453085761094,-0.12647805131313147,0.2720475731426816,0.3406374106142969,0.16880216743613244,0.32832639526088475,0.27642303176117805,-0.021374896742486844,0.24175162976868478,0.24516343901216217,-0.0915062048379418,0.2033666699401463,0.2611548237113217,0.2634123330856572,-0.1870330186182575,0.17668396538765457,0.2275123509496808,0.1865282167231283,0.2661649486131173,0.3196792540518705,0.2446587124351826,-0.08382253906818697,0.26024067277493884,0.23291159153105268,0.25279299069573563
US_crude_oil_futures,0.26193073555923085,0.12794876190294355,0.17552721067429308,0.475479690384857,-0.11737861814886585,0.2639922889527628,0.34096297515026075,0.5057906770018951,0.29081141649068215,0.17122053958620423,0.2687192235983755,-0.32911184618134776,0.5418669918245912,0.3856548239587606,0.43036480929146054,0.3678171418361887,0.29025256707885405,0.6229900486728228,0.14458850393689987,0.3232179249987386,0.5320094234108093,0.5676546024641966,-0.28054591791064615,0.6279366470996437,0.538034634839677,0.31049640984463206,0.38965112193225193,0.6561976233430182,0.13575931352830972,0.231818021407535,0.23563544849440582,-0.24006558684909607,0.39361524908748846,0.2764412054095459,0.278707867136613,-0.3256552323520976,0.3879405251971875,0.40955107446089856,0.1677713290084581,0.2069611418479193,0.3209097638828677,0.32814703874179457,-0.0848407035572553,0.20944549056102627,0.1991214704762678,0.3221568853718074
US_gold_futures,0.3331902685088414,0.2629089666440262,0.267848630195289,-0.03765279090157398,-0.07262865930166225,0.18185499059906862,0.37927614417488265,0.031012217069701458,0.39217643046498385,0.2704561264367639,0.2722423170030038,-0.04704064050007877,0.13073049698276887,0.2640616555738884,0.25739667162726576,0.5617232000070914,0.2362399268556165,0.14458850393689987,0.39169465958610467,0.40643556570822936,-0.08190602874620054,-0.06987305292789113,-0.12846717166716867,0.10232784179437064,0.2876375934402242,0.4767526926640057,0.23725329482563945,0.10577682328803821,0.1642598221868526,0.24822056067736104,0.25360331833958555,-0.10984404359296164,0.32904371172435914,0.2954435396411286,0.29702277657610215,-0.22582376081488625,0.16552790231408782,0.2103977420117308,0.08600606829665329,0.24388470866951675,0.25782858395407937,0.2572255250150858,-0.24999788413894178,0.33831006123623,0.26035635112611677,0.23757141596313952
UK_bond,0.4631660141106987,0.12185614461195897,0.14726652255166264,0.15684366190063795,-0.21705777272641089,0.356066094016989,0.67946265017456,0.06899867173311854,0.6197316965078585,0.27322109919256526,0.35505452280914784,-0.33673874954334365,0.28272219424487244,0.5843673218375353,0.22038187171836035,1.243042594373808,0.24303245350188893,0.3232179249987386,0.40643556570822936,0.730264546620835,0.2597079214004894,0.30145193793841457,-0.3571274128596322,0.2903460084666169,0.2707517240615457,1.2100435043162527,0.24446456955385498,0.3180753181146482,0.7721610122641823,0.34239588677651794,0.352831022072965,-0.33226870751454046,0.8396687756636174,0.43743486809106846,0.4394250766577774,-0.47732864901841937,0.39549125482331093,0.34017020936663783,0.020817867156362743,0.23048417427668094,0.26629680330849204,0.41691848083101163,-0.3370187100400159,0.42374771618261803,0.1996544286440753,0.324215110025416
UK_stock,0.11056676335302724,-0.0783651755059147,-0.04373668160044755,0.5672090865257081,-0.2533842155694096,0.22944772708538427,0.3531652760607726,0.3969855246140156,0.17002692624358687,0.00550622581447174,0.14841502593961867,-0.4289264541173584,0.4650736367033945,0.4055951869257373,0.1359891402087345,0.531018840370842,0.13934940832555207,0.5320094234108093,-0.08190602874620054,0.2597079214004894,0.831851430957189,0.8770589238680238,-0.3081490910266585,0.5655314593292806,0.14757870758013433,0.517899379620258,0.21969920674249238,0.5965500259645965,0.46148920684693934,0.18306288927730435,0.18766668459202812,-0.27852802225476786,0.48855507712640234,0.176736511480736,0.17796620361607066,-0.2893899279511198,0.36392311253385157,0.28355882220691453,0.06182407108581415,0.05720579546239889,0.16421587940720841,0.24077391515905938,0.08580389780659889,0.06564745998619072,-0.035872666464365786,0.22286328003848377
UK_stock_futures,0.13436614715089426,-0.07990886018179509,-0.040092310176246676,0.5967471281093435,-0.26686970246311287,0.25678373081281597,0.3937985180431913,0.4172618302943042,0.20303648076159675,0.014109432723185593,0.16710802588708673,-0.46403338288710716,0.4961216626077392,0.4470628626384824,0.15082426600619886,0.5987099871554555,0.15201453085761094,0.5676546024641966,-0.06987305292789113,0.30145193793841457,0.8770589238680238,0.9265367279075236,-0.3386837055139067,0.6014409113001342,0.16722115627969503,0.5880789766453222,0.2356946779836979,0.6351657359325544,0.5148680273775499,0.20221758758417874,0.20746885451847283,-0.3071985812698262,0.5448595966491467,0.20061855764191155,0.20193414919492886,-0.32506833012389846,0.39683959061064955,0.31078479135510484,0.06085312568719825,0.06417533798804301,0.17737904589717796,0.26764869710946826,0.07226269493964078,0.08186505475968611,-0.030434991073402373,0.24564989728802064
